frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,1,10,1.0,100.0,0,0.0
1,1,10,2.0,100.0,0,0.0
2,2,10,2.0,100.0,0,0.0
3,2,10,3.0,100.0,0,0.0
4,2,10,4.0,100.0,0,0.0
5,2,10,5.0,100.0,0,0.0
6,2,10,6.0,100.0,0,0.0
7,2,10,7.0,100.0,0,0.0
8,1,10,7.0,100.0,0,0.0
9,1,10,8.0,100.0,0,0.0
10,1,10,9.0,100.0,0,0.0
11,1,10,1.0,100.0,0,0.0
12,2,10,1.5,100.0,0,0.0
13,2,10,2.5,100.0,0,0.0
14,2,10,3.5,100.0,0,0.0
15,2,10,4.5,100.0,0,0.0
16,2,10,5.5,100.0,0,0.0
17,1,10,6.0,100.0,0,0.0
18,1,10,7.0,100.0,0,0.0
19,0,10,0,100.0,0,0.0
20,0,10,0,100.0,0,0.0
21,0,10,0,100.0,0,0.0
22,0,10,0,100.0,0,0.0
23,0,10,0,100.0,0,0.0
24,0,10,0,100.0,0,0.0
25,0,10,0,100.0,0,0.0
26,0,10,0,100.0,0,0.0
27,0,10,0,100.0,0,0.0
28,0,10,0,100.0,0,0.0
29,1,10,1.0,100.0,0,0.0
30,1,10,2.0,100.0,0,0.0
31,1,10,3.0,100.0,0,0.0
32,1,10,4.0,100.0,0,0.0
33,1,10,5.0,100.0,0,0.0
34,1,10,5.0,90.0,0,10.0
35,0,10,0,100.0,0,0.0
36,0,10,0,100.0,0,0.0
37,0,10,0,100.0,0,0.0
38,1,10,1.0,100.0,0,0.0
39,1,10,1.0,100.0,0,0.0
40,1,10,1.0,90.0,0,10.0
41,1,10,1.0,90.0,0,10.0
42,2,10,1.0,90.0,0,10.0
43,1,10,2.0,100.0,0,0.0
44,2,10,2.0,100.0,0,0.0
45,2,10,3.0,100.0,0,0.0
46,2,10,3.5,90.0,0,10.0
47,2,10,4.0,90.0,0,10.0
48,2,10,4.5,90.0,1,0.0
49,2,10,5.0,80.0,1,11.11
50,2,10,3.5,90.0,1,0.0
51,1,10,2.0,90.0,1,0.0
52,1,10,3.0,90.0,1,0.0
53,1,10,4.0,90.0,1,0.0
54,1,10,5.0,90.0,1,0.0
55,1,10,6.0,90.0,1,0.0
56,1,10,7.0,90.0,1,0.0
57,1,10,8.0,90.0,1,0.0
58,1,10,1.0,90.0,1,0.0
59,1,10,1.0,90.0,1,0.0
60,1,10,2.0,90.0,1,0.0
61,1,10,2.0,80.0,1,11.11
62,1,10,2.0,80.0,1,11.11
63,2,10,1.5,80.0,1,11.11
64,1,10,2.0,90.0,1,0.0
65,1,10,3.0,90.0,1,0.0
66,1,10,4.0,90.0,1,0.0
67,1,10,5.0,90.0,1,0.0
68,1,10,5.0,80.0,1,11.11
69,1,10,5.0,80.0,1,11.11
70,1,10,5.0,80.0,1,11.11
71,1,10,5.0,80.0,1,11.11
