frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,0,10,0,100.0,0,0.0
2,1,10,0.0,90.0,0,10.0
3,2,10,0.5,90.0,0,10.0
4,2,10,1.0,90.0,0,10.0
5,2,10,0.5,90.0,0,10.0
6,2,10,1.0,90.0,1,0.0
7,1,10,3.0,90.0,1,0.0
8,1,10,4.0,90.0,1,0.0
9,1,10,5.0,90.0,1,0.0
10,1,10,1.0,90.0,1,0.0
11,2,10,0.5,70.0,1,22.22
12,3,10,0.33,60.0,1,33.33
13,2,10,0.5,80.0,1,11.11
14,2,10,1.0,80.0,1,11.11
15,3,10,1.33,80.0,2,0.0
16,3,10,2.33,80.0,2,0.0
17,3,10,3.0,80.0,2,0.0
18,2,10,3.0,80.0,2,0.0
19,3,10,2.33,60.0,3,14.29
20,4,10,2.5,60.0,3,14.29
21,4,10,2.75,50.0,4,16.67
22,2,10,4.0,60.0,4,0.0
23,2,10,4.5,50.0,5,0.0
24,2,10,5.5,50.0,5,0.0
25,2,10,5.0,50.0,5,0.0
26,2,10,1.0,40.0,5,20.0
27,2,10,1.5,40.0,5,20.0
28,2,10,2.0,50.0,5,0.0
29,2,10,3.0,50.0,5,0.0
30,1,10,3.0,50.0,5,0.0
31,1,10,4.0,50.0,5,0.0
32,2,10,2.5,40.0,5,20.0
33,2,10,3.0,40.0,5,20.0
34,2,10,3.5,40.0,5,20.0
35,2,10,4.0,50.0,4,16.67
36,1,10,0.0,50.0,5,0.0
37,1,10,1.0,50.0,5,0.0
38,0,10,0,50.0,5,0.0
39,0,10,0,50.0,5,0.0
40,0,10,0,50.0,5,0.0
41,0,10,0,50.0,5,0.0
42,0,10,0,50.0,5,0.0
43,1,10,0.0,40.0,5,20.0
44,1,10,0.0,50.0,4,16.67
45,1,10,1.0,60.0,4,0.0
46,1,10,2.0,60.0,4,0.0
47,1,10,3.0,60.0,4,0.0
48,2,10,2.5,70.0,3,0.0
49,2,10,1.0,60.0,3,14.29
50,2,10,1.5,70.0,3,0.0
51,2,10,2.5,70.0,3,0.0
52,2,10,3.0,70.0,2,12.5
53,2,10,3.5,70.0,2,12.5
54,1,10,6.0,80.0,2,0.0
55,0,10,0,80.0,2,0.0
56,1,10,1.0,80.0,2,0.0
57,1,10,1.0,70.0,2,12.5
58,1,10,1.0,70.0,2,12.5
59,1,10,1.0,70.0,2,12.5
60,1,10,1.0,70.0,3,0.0
61,0,10,0,70.0,3,0.0
62,1,10,1.0,70.0,3,0.0
63,1,10,2.0,70.0,3,0.0
64,1,10,3.0,70.0,3,0.0
65,1,10,3.0,70.0,2,12.5
66,1,10,3.0,70.0,2,12.5
67,1,10,3.0,70.0,2,12.5
68,1,10,3.0,70.0,2,12.5
69,2,10,2.0,70.0,3,0.0
70,2,10,3.0,70.0,3,0.0
71,1,10,5.0,70.0,3,0.0
72,0,10,0,70.0,3,0.0
73,0,10,0,70.0,3,0.0
74,0,10,0,70.0,3,0.0
75,1,10,1.0,70.0,3,0.0
76,1,10,2.0,70.0,3,0.0
77,1,10,3.0,70.0,3,0.0
78,2,10,2.5,70.0,3,0.0
79,2,10,3.5,80.0,2,0.0
80,2,10,4.0,70.0,2,12.5
81,3,10,2.67,50.0,2,37.5
82,3,10,2.67,50.0,2,37.5
83,1,10,0.0,70.0,2,12.5
84,1,10,0.0,70.0,2,12.5
85,1,10,0.0,70.0,3,0.0
86,0,10,0,70.0,3,0.0
87,0,10,0,70.0,3,0.0
88,0,10,0,70.0,3,0.0
89,1,10,0.0,70.0,2,12.5
90,2,10,0.5,70.0,2,12.5
91,3,10,1.0,70.0,2,12.5
92,2,10,1.0,70.0,2,12.5
93,3,10,1.0,60.0,3,14.29
94,3,10,1.67,60.0,3,14.29
95,3,10,2.0,50.0,4,16.67
96,3,10,2.33,40.0,4,33.33
97,4,10,2.0,30.0,5,40.0
98,2,10,2.5,40.0,5,20.0
99,2,10,3.0,40.0,5,20.0
100,1,10,4.0,40.0,6,0.0
101,1,10,5.0,40.0,6,0.0
102,0,10,0,40.0,6,0.0
