frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,0,10,0,100.0,0,0.0
2,0,10,0,100.0,0,0.0
3,0,10,0,100.0,0,0.0
4,0,10,0,100.0,0,0.0
5,0,10,0,100.0,0,0.0
6,1,10,1.0,100.0,0,0.0
7,1,10,2.0,100.0,0,0.0
8,2,10,1.5,90.0,0,10.0
9,2,10,2.0,90.0,0,10.0
10,2,10,2.5,90.0,0,10.0
11,2,10,3.0,90.0,0,10.0
12,1,10,5.0,90.0,1,0.0
13,1,10,6.0,90.0,1,0.0
14,1,10,7.0,90.0,1,0.0
15,1,10,7.0,80.0,1,11.11
16,0,10,0,90.0,1,0.0
17,0,10,0,90.0,1,0.0
18,0,10,0,90.0,1,0.0
19,1,10,1.0,90.0,1,0.0
20,1,10,2.0,90.0,1,0.0
21,1,10,3.0,90.0,1,0.0
22,1,10,4.0,90.0,1,0.0
23,1,10,5.0,90.0,1,0.0
24,2,10,3.5,90.0,1,0.0
25,2,10,1.0,80.0,1,11.11
26,2,10,1.5,80.0,1,11.11
27,2,10,1.5,70.0,1,22.22
28,2,10,1.5,70.0,1,22.22
29,3,10,1.33,70.0,2,12.5
30,3,10,1.67,60.0,2,25.0
31,3,10,2.0,60.0,3,14.29
32,3,10,1.67,60.0,3,14.29
33,3,10,0.67,50.0,3,28.57
34,4,10,1.0,50.0,4,16.67
35,3,10,2.0,60.0,4,0.0
36,2,10,2.5,60.0,4,0.0
37,0,10,0,60.0,4,0.0
38,0,10,0,60.0,4,0.0
39,0,10,0,60.0,4,0.0
40,1,10,1.0,60.0,4,0.0
41,1,10,2.0,70.0,3,0.0
42,2,10,2.0,70.0,3,0.0
43,1,10,1.0,70.0,3,0.0
44,2,10,1.0,60.0,3,14.29
45,3,10,1.0,50.0,4,16.67
46,2,10,1.0,50.0,4,16.67
47,2,10,1.5,50.0,4,16.67
48,2,10,2.0,50.0,5,0.0
49,0,10,0,50.0,5,0.0
50,1,10,1.0,50.0,5,0.0
51,2,10,1.5,50.0,5,0.0
52,2,10,2.0,40.0,5,20.0
53,2,10,1.0,40.0,5,20.0
54,1,10,2.0,50.0,5,0.0
55,2,10,2.0,50.0,5,0.0
56,2,10,3.0,50.0,5,0.0
57,1,10,5.0,50.0,5,0.0
58,1,10,6.0,60.0,4,0.0
59,1,10,7.0,60.0,4,0.0
60,0,10,0,70.0,3,0.0
61,1,10,1.0,70.0,3,0.0
62,1,10,2.0,70.0,3,0.0
63,2,10,2.0,80.0,2,0.0
64,2,10,2.5,80.0,2,0.0
65,2,10,3.5,80.0,2,0.0
66,3,10,3.0,70.0,2,12.5
67,3,10,2.0,70.0,2,12.5
68,4,10,2.25,70.0,2,12.5
69,4,10,3.0,70.0,2,12.5
70,4,10,2.25,70.0,2,12.5
71,4,10,2.75,60.0,3,14.29
72,3,10,3.0,60.0,3,14.29
73,2,10,4.5,60.0,3,14.29
74,1,10,1.0,70.0,2,12.5
75,1,10,1.0,80.0,2,0.0
76,2,10,1.5,80.0,2,0.0
77,3,10,1.67,80.0,1,11.11
78,3,10,2.0,70.0,2,12.5
79,3,10,2.67,70.0,2,12.5
80,3,10,3.33,70.0,2,12.5
81,2,10,5.0,80.0,2,0.0
82,1,10,3.0,70.0,2,12.5
83,0,10,0,70.0,3,0.0
84,1,10,1.0,70.0,3,0.0
85,1,10,2.0,70.0,3,0.0
86,2,10,2.0,70.0,3,0.0
87,1,10,2.0,70.0,3,0.0
88,0,10,0,70.0,3,0.0
89,0,10,0,70.0,3,0.0
90,0,10,0,70.0,3,0.0
91,0,10,0,70.0,3,0.0
92,0,10,0,70.0,3,0.0
93,1,10,0.0,60.0,4,0.0
94,1,10,1.0,60.0,4,0.0
95,1,10,1.0,60.0,4,0.0
96,1,10,2.0,60.0,4,0.0
97,0,10,0,60.0,4,0.0
98,1,10,1.0,60.0,4,0.0
99,1,10,2.0,60.0,4,0.0
100,2,10,2.0,70.0,3,0.0
101,0,10,0,70.0,3,0.0
102,1,10,1.0,70.0,3,0.0
