frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
0,0,10,0,100.0,0,0.0
1,0,10,0,100.0,0,0.0
2,1,10,1.0,100.0,0,0.0
3,2,10,1.0,90.0,0,10.0
4,1,10,2.0,100.0,0,0.0
5,2,10,1.5,90.0,0,10.0
6,2,10,2.0,90.0,0,10.0
7,2,10,2.0,80.0,1,11.11
8,3,10,2.0,80.0,1,11.11
9,3,10,2.67,80.0,1,11.11
10,2,10,2.5,80.0,1,11.11
11,1,10,2.0,80.0,2,0.0
12,1,10,3.0,80.0,2,0.0
13,1,10,4.0,80.0,2,0.0
14,1,10,1.0,80.0,2,0.0
15,1,10,2.0,80.0,2,0.0
16,1,10,3.0,80.0,2,0.0
17,1,10,4.0,80.0,2,0.0
18,1,10,5.0,80.0,2,0.0
19,2,10,3.5,80.0,2,0.0
20,2,10,4.5,80.0,2,0.0
21,2,10,5.5,80.0,2,0.0
22,2,10,6.5,80.0,2,0.0
23,1,10,10.0,80.0,2,0.0
24,0,10,0,80.0,2,0.0
25,1,10,1.0,80.0,2,0.0
26,1,10,1.0,70.0,2,12.5
27,1,10,1.0,70.0,2,12.5
28,1,10,1.0,70.0,2,12.5
29,0,10,0,80.0,2,0.0
30,0,10,0,80.0,2,0.0
31,0,10,0,80.0,2,0.0
32,0,10,0,80.0,2,0.0
33,0,10,0,80.0,2,0.0
34,0,10,0,80.0,2,0.0
35,1,10,1.0,80.0,2,0.0
36,1,10,2.0,90.0,1,0.0
37,1,10,3.0,90.0,1,0.0
38,1,10,4.0,90.0,1,0.0
39,2,10,2.5,80.0,1,11.11
40,2,10,3.0,90.0,0,10.0
41,2,10,3.5,90.0,0,10.0
42,2,10,2.5,90.0,0,10.0
43,2,10,3.0,90.0,1,0.0
44,2,10,3.0,70.0,1,22.22
45,1,10,2.0,80.0,1,11.11
46,0,10,0,90.0,1,0.0
47,0,10,0,90.0,1,0.0
48,0,10,0,90.0,1,0.0
49,0,10,0,90.0,1,0.0
50,0,10,0,90.0,1,0.0
51,0,10,0,90.0,1,0.0
52,0,10,0,90.0,1,0.0
53,1,10,1.0,90.0,1,0.0
54,1,10,2.0,90.0,1,0.0
55,1,10,3.0,90.0,1,0.0
56,0,10,0,90.0,1,0.0
57,0,10,0,90.0,1,0.0
58,0,10,0,90.0,1,0.0
59,1,10,1.0,90.0,1,0.0
60,2,10,1.5,90.0,1,0.0
61,1,10,3.0,90.0,1,0.0
62,1,10,4.0,90.0,1,0.0
63,1,10,5.0,90.0,1,0.0
64,1,10,5.0,80.0,1,11.11
65,1,10,5.0,80.0,1,11.11
66,1,10,0.0,80.0,2,0.0
67,1,10,1.0,80.0,2,0.0
68,0,10,0,80.0,2,0.0
69,0,10,0,80.0,2,0.0
70,0,10,0,80.0,2,0.0
71,0,10,0,80.0,2,0.0
72,0,10,0,90.0,1,0.0
73,0,10,0,90.0,1,0.0
74,1,10,1.0,90.0,1,0.0
75,0,10,0,90.0,1,0.0
76,0,10,0,90.0,1,0.0
77,0,10,0,90.0,1,0.0
78,1,10,1.0,90.0,1,0.0
79,1,10,2.0,90.0,1,0.0
80,1,10,2.0,80.0,1,11.11
81,1,10,2.0,80.0,1,11.11
82,2,10,1.5,80.0,1,11.11
83,2,10,2.0,80.0,1,11.11
84,2,10,2.5,80.0,2,0.0
85,1,10,4.0,80.0,2,0.0
86,1,10,5.0,80.0,2,0.0
87,1,10,6.0,80.0,2,0.0
88,1,10,7.0,80.0,2,0.0
89,0,10,0,80.0,2,0.0
90,0,10,0,80.0,2,0.0
91,0,10,0,80.0,2,0.0
92,0,10,0,80.0,2,0.0
93,1,10,0.0,70.0,2,12.5
94,1,10,0.0,70.0,2,12.5
95,1,10,0.0,80.0,1,11.11
96,1,10,0.0,80.0,1,11.11
97,1,10,0.0,80.0,2,0.0
98,1,10,1.0,80.0,2,0.0
99,0,10,0,80.0,2,0.0
100,0,10,0,80.0,2,0.0
101,0,10,0,80.0,2,0.0
102,0,10,0,80.0,2,0.0
103,0,10,0,80.0,2,0.0
104,0,10,0,80.0,2,0.0
